Character,Words,Play
CITIZENS.ANTIUM.1,20,Cor
SENATORS.ROMAN,19,Cor
SOLDIERS.ROMAN.0.2,17,Cor
SOLDIERS.VOLSCIAN.0.1,17,Cor
YoungMartius,17,Cor
MESSENGERS.X.2,15,Cor
MESSENGERS.X.1,12,Cor
SOLDIERS.ROMAN,12,Cor
CONSPIRATORS,11,Cor
LORDS.VOLSCIAN,11,Cor
Gentlewoman,9,Cor
SENATORS.VOLSCIAN,5,Cor
SOLDIERS.ROMAN.Lieutenant,5,Cor
NOBLES.0.1,4,Cor
AEDILES,2,Cor
Imogen,4417,Cym
Posthumus,3391,Cym
Iachimo,3193,Cym
Belarius,2503,Cym
Cloten,2001,Cym
Cymbeline,1988,Cym
Pisanio,1499,Cym
Queen,1209,Cym
Guiderius,1110,Cym
Arviragus,947,Cym
Lucius,721,Cym
Cornelius,522,Cym
ATTENDANTS.1,506,Cym
JAILERS.1,412,Cym
ATTENDANTS.CLOTEN.2,313,Cym
Soothsayer,310,Cym
Philario,292,Cym
GHOSTS.Father,230,Cym
ATTENDANTS.CLOTEN.1,190,Cym
Frenchman,180,Cym
Jupiter,154,Cym
ATTENDANTS.0.2,102,Cym
SENATORS.1,101,Cym
GHOSTS.BROTHERS.1,73,Cym
ATTENDANTS.2,71,Cym
SOLDIERS.ROMAN.0.1,68,Cym
GHOSTS.Mother,62,Cym
LADIES.IMOGEN,60,Cym
SOLDIERS.BRITON.0.2,51,Cym
GHOSTS.BROTHERS.2,44,Cym
MUSICIANS,44,Cym
ATTENDANTS.3,34,Cym
SOLDIERS.BRITON.0.1,30,Cym
ATTENDANTS.0.1,22,Cym
TRIBUNES.0.1,15,Cym
MESSENGERS.1,12,Cym
MESSENGERS.2,10,Cym
LADIES.QUEEN.0.1,8,Cym
LADIES.QUEEN,6,Cym
JAILERS.2,4,Cym
SENATORS.2,1,Cym
Hamlet,11613,Ham
Claudius,4084,Ham
Polonius,2662,Ham
Horatio,2073,Ham
Laertes,1446,Ham
Ophelia,1183,Ham
Gertrude,1050,Ham
Gravedigger,736,Ham
Rosencrantz,708,Ham
Ghost,680,Ham
Marcellus,440,Ham
Osric,359,Ham
PLAYERS.1,352,Ham
PLAYERS.King,337,Ham
Guildenstern,323,Ham
PLAYERS.Queen,247,Ham
Barnardo,226,Ham
Fortinbras,187,Ham
Voltemand,159,Ham
ATTENDANTS.1,99,Ham
GravediggersCompanion,97,Ham
Doctor,90,Ham
SOLDIERS.FORTINBRAS.Captain,85,Ham
MESSENGERS.1,77,Ham
ATTENDANTS.2,67,Ham
Reynaldo,65,Ham
Francisco,55,Ham
AMBASSADORS,40,Ham
PLAYERS.Lucianus,40,Ham
SAILORS.0.1,40,Ham
MESSENGERS.2,36,Ham
PLAYERS.Prologue,16,Ham
PLAYERS.0.1,14,Ham
ATTENDANTS.0.1,13,Ham
Cornelius,10,Ham
FOLLOWERS.LAERTES,8,Ham
ATTENDANTS.GUARDS,3,Ham
ATTENDANTS,3,Ham
Falstaff,5510,1H4
HenryV,4368,1H4
Hotspur,4326,1H4
HenryIV,2555,1H4
Worcester,1421,1H4
Glendower,608,1H4
Poins,546,1H4
Vernon,460,1H4
Mortimer,444,1H4
LadyPercy,419,1H4
MistressQuickly,411,1H4
Gadshill,343,1H4
Douglas,341,1H4
Blunt,299,1H4
Westmoreland,297,1H4
Archbishop,258,1H4
Bardolph,201,1H4
TRAVELERS.CARRIERS.1,175,1H4
Northumberland,170,1H4
Chamberlain,149,1H4
TRAVELERS.CARRIERS.2,140,1H4
Peto,93,1H4
DRAWERS.Francis,83,1H4
Bedford,64,1H4
Sheriff,59,1H4
SirMichael,53,1H4
MESSENGERS.X,49,1H4
Vintner,33,1H4
TRAVELERS.GENTLEMEN.0.1,31,1H4
SERVANTS.HOTSPUR.1,19,1H4
TRAVELERS.GENTLEMEN,12,1H4
MESSENGERS.2,8,1H4
MESSENGERS.1,7,1H4
TRAVELERS.CARRIERS.X,4,1H4
TRAVELERS.CARRIERS,3,1H4
Ostler,2,1H4
Falstaff,5477,2H4
HenryV,2445,2H4
HenryIV,2281,2H4
Shallow,1570,2H4
MistressQuickly,1425,2H4
ChiefJustice,1137,2H4
Archbishop,1094,2H4
Westmoreland,851,2H4
Northumberland,819,2H4
Bedford,812,2H4
LordBardolph,643,2H4
DollTearsheet,638,2H4
Morton,633,2H4
Warwick,573,2H4
Pistol,553,2H4
Poins,474,2H4
Mowbray,434,2H4
Hastings,415,2H4
LadyPercy,372,2H4
Epilogue,331,2H4
Bardolph,310,2H4
Chorus,297,2H4
Davy,276,2H4
Silence,257,2H4
SERVANTS.FALSTAFF.1,214,2H4
Clarence,170,2H4
Gloucester,122,2H4
Travers,112,2H4
Bullcalf,109,2H4
Feeble,95,2H4
Mouldy,95,2H4
SERVANTS.CHIEFJUSTICE.1,85,2H4
BEADLES.0.1,72,2H4
DRAWERS.1,68,2H4
Colevile,64,2H4
Harcourt,64,2H4
DRAWERS.Francis,60,2H4
MESSENGERS.Gower,56,2H4
OFFICERS.Fang,53,2H4
Peto,44,2H4
LadyNorthumberland,38,2H4
DRAWERS.Will,33,2H4
MESSENGERS.1,33,2H4
Porter,28,2H4
OFFICERS.Snare,19,2H4
GROOMS.1,16,2H4
DRAWERS.X,9,2H4
Shadow,6,2H4
GROOMS.2,5,2H4
Wart,4,2H4
HenryV,8332,H5
Fluellen,2501,H5
Chorus,1668,H5
BishopOfCanterbury,1652,H5
Pistol,1118,H5
Exeter,965,H5
Constable,922,H5
Dauphin,905,H5
KingOfFrance,699,H5
Boy,626,H5
SOLDIERS.ENGLISH.Williams,621,H5
Burgundy,512,H5
Gower,507,H5
Katherine,441,H5
Montjoy,399,H5
Nym,386,H5
MistressQuickly,360,H5
Orleans,312,H5
BishopOfEly,240,H5
Bardolph,224,H5
MacMorris,205,H5
QueenOfFrance,188,H5
SOLDIERS.ENGLISH.Bates,167,H5
Alice,164,H5
Westmoreland,144,H5
Grandpre,137,H5
AMBASSADORS.0.1,132,H5
Cambridge,107,H5
Jamy,98,H5
SOLDIERS.FRENCH.LeFer,98,H5
Scroop,93,H5
Grey,86,H5
Bedford,77,H5
Salisbury,75,H5
Bourbon,74,H5
Rambures,66,H5
Brittany,65,H5
Governor,56,H5
Erpingham,53,H5
Gloucester,28,H5
MESSENGERS.X.2,17,H5
York,14,H5
MESSENGERS.X.1,12,H5
SOLDIERS.ENGLISH.Court,11,H5
HERALDS.1,8,H5
MESSENGERS.X.3,7,H5
Warwick,7,H5
ATTENDANTS.ENGLISH,1,H5
Talbot,3109,1H6
Pucelle,1957,1H6
Gloucester,1401,1H6
York,1385,1H6
HenryVI,1330,1H6
Suffolk,1304,1H6
Charles,1019,1H6
CardinalBeaufort,727,1H6
Mortimer,651,1H6
Bedford,595,1H6
Lucy,586,1H6
Warwick,542,1H6
Somerset,513,1H6
Exeter,444,1H6
Reignier,444,1H6
JohnTalbot,400,1H6
Alanson,359,1H6
