Character,Words,Play
Brabantio,1045,Oth
Roderigo,861,Oth
Lodovico,529,Oth
Duke,476,Oth
Montano,420,Oth
Bianca,270,Oth
Clown,227,Oth
SENATORS.0.1,187,Oth
Gratiano,165,Oth
GENTLEMEN.3,113,Oth
Herald,101,Oth
GENTLEMEN.2,88,Oth
MESSENGERS.X.1,62,Oth
SENATORS.0.2,44,Oth
OFFICERS.0.1,28,Oth
Sailor,24,Oth
MUSICIANS.0.1,23,Oth
GENTLEMEN.1,19,Oth
MESSENGERS.X.2,19,Oth
OFFICERS,19,Oth
GENTLEMEN.0.1,7,Oth
SENATORS,6,Oth
GENTLEMEN,2,Oth
Pericles,4580,Per
Gower,2073,Per
Marina,1265,Per
Simonides,1136,Per
Helicanus,872,Per
Cleon,841,Per
Bawd,840,Per
Cerimon,731,Per
Lysimachus,721,Per
Dionyza,677,Per
Bolt,656,Per
Thaisa,566,Per
Antiochus,483,Per
FISHERMEN.1,314,Per
FISHERMEN.2,222,Per
Pander,216,Per
Thaliard,207,Per
FISHERMEN.3,151,Per
Leonine,143,Per
LORDS.TYRE.0.1,140,Per
GENTLEMEN.EPHESUS.1,90,Per
GENTLEMEN.EPHESUS.2,84,Per
Lychorida,74,Per
Diana,72,Per
SAILORS.1,71,Per
LORDS.TYRE.0.2,68,Per
KNIGHTS.0.1,48,Per
LORDS.TARSUS.1,48,Per
LORDS.PENTAPOLIS.0.1,44,Per
SAILORS.TYRE.1,42,Per
SAILORS.2,38,Per
GENTLEMEN.MYTILENE.1,37,Per
SERVANTS.CERIMON.0.1,33,Per
GENTLEMEN.MYTILENE.2,32,Per
KNIGHTS.0.2,28,Per
KNIGHTS.0.3,27,Per
KNIGHTS,19,Per
LORDS.PENTAPOLIS.0.3,17,Per
Daughter,16,Per
LORDS.MYTILENE.0.1,16,Per
SUPPLIANTS.1,16,Per
LORDS.PENTAPOLIS.0.2,15,Per
SAILORS.MYTILENE.1,13,Per
LORDS.TYRE.0.3,12,Per
CITIZENS.TARSUS,11,Per
PIRATES.0.3,9,Per
PIRATES.0.1,8,Per
LORDS.TYRE.Escanes,6,Per
MESSENGERS.ANTIOCH.1,6,Per
Marshal,5,Per
GENTLEMEN.TYRE.0.1,4,Per
PIRATES.0.2,4,Per
Philemon,4,Per
LORDS.TYRE,3,Per
RichardII,5986,R2
HenryIV,3117,R2
York,2232,R2
Gaunt,1515,R2
Northumberland,1104,R2
Mowbray,1057,R2
Queen,910,R2
DuchessOfYork,734,R2
Aumerle,676,R2
BishopOfCarlisle,485,R2
DuchessOfGloucester,457,R2
Gardener,409,R2
Hotspur,352,R2
Scroop,285,R2
Bushy,272,R2
Green,243,R2
Fitzwater,218,R2
LordMarshal,202,R2
Exton,178,R2
Ross,178,R2
Bagot,171,R2
Salisbury,156,R2
WelshCaptain,121,R2
Willoughby,102,R2
Groom,91,R2
Surrey,75,R2
AbbotOfWestminster,71,R2
SERVANTS.GARDENER.1,70,R2
Berkeley,69,R2
HERALDS.1,48,R2
HERALDS.2,48,R2
LORDS.1,43,R2
SERVANTS.YORK.1,43,R2
Jailer,38,R2
LADIES.0.1,27,R2
SERVANTS.EXTON.0.1,7,R2
RichardIII,8833,R3
Buckingham,2918,R3
QueenElizabeth,2122,R3
QueenMargaret,1751,R3
Clarence,1338,R3
LadyAnne,1242,R3
Hastings,1149,R3
DuchessOfYork,1093,R3
HenryVII,1066,R3
Stanley,833,R3
EdwardIV,524,R3
MURDERERS.1,463,R3
MURDERERS.2,436,R3
Catesby,435,R3
EdwardV,411,R3
York,404,R3
Rivers,403,R3
Tyrrel,268,R3
CITIZENS.3,230,R3
Brakenbury,225,R3
Ratcliffe,219,R3
ClarencesBoy,181,R3
Grey,134,R3
Dorset,122,R3
MESSENGERS.X.2,118,R3
Scrivener,116,R3
MayorOfLondon,115,R3
CITIZENS.2,104,R3
Archbishop,78,R3
MESSENGERS.4,78,R3
Cardinal,74,R3
Jailer,68,R3
Norfolk,68,R3
Blunt,67,R3
CITIZENS.1,65,R3
MESSENGERS.X.1,61,R3
ClarencesDaughter,58,R3
SirChristopher,58,R3
HenryVI,54,R3
BishopOfEly,47,R3
MESSENGERS.3,47,R3
PrinceEdward,44,R3
Vaughan,39,R3
ATTENDANTS.0.1,36,R3
MESSENGERS.1,33,R3
MESSENGERS.2,23,R3
Lovell,20,R3
Pursuivant,20,R3
SirJohn,16,R3
ATTENDANTS.RICHMOND.0.1,14,R3
GENTLEMEN.0.1,13,R3
Oxford,13,R3
Herbert,10,R3
Sheriff,9,R3
Surrey,9,R3
MESSENGERS.X.3,7,R3
ATTENDANTS.RICHMOND,3,R3
BISHOPS,1,R3
CITIZENS,1,R3
Romeo,4673,Rom
Juliet,4265,Rom
FriarLawrence,2722,Rom
Nurse,2205,Rom
Capulet,2136,Rom
Mercutio,2100,Rom
Benvolio,1160,Rom
LadyCapulet,874,Rom
PrinceEscalus,584,Rom
Paris,540,Rom
Montague,317,Rom
Tybalt,263,Rom
SERVANTS.CAPULET.Sampson,258,Rom
SERVANTS.CAPULET.Peter,244,Rom
SERVANTS.MONTAGUE.Balthasar,233,Rom
Chorus,219,Rom
SERVANTS.CAPULET.Gregory,145,Rom
SERVANTS.CAPULET.X.1,142,Rom
WATCHMEN.0.1,133,Rom
SERVANTS.CAPULET.0.1,119,Rom
FriarJohn,97,Rom
SERVANTS.PARIS.1,80,Rom
MUSICIANS.0.1,70,Rom
Apothecary,53,Rom
CITIZENS.0.1,43,Rom
SERVANTS.CAPULET.0.2,37,Rom
SERVANTS.CAPULET.X.2,35,Rom
MUSICIANS.0.2,34,Rom
LadyMontague,28,Rom
WATCHMEN.0.3,26,Rom
SERVANTS.MONTAGUE.Abram,24,Rom
SERVANTS.CAPULET.0.3,21,Rom
Cousin,18,Rom
CITIZENS,16,Rom
WATCHMEN.0.2,9,Rom
MUSICIANS.0.3,7,Rom
SERVANTS.CAPULET.0,4,Rom
Petruchio,2,Rom
Petruchio,4609,Shr
Tranio,2262,Shr
Katherine,1761,Shr
Hortensio,1575,Shr
Grumio,1454,Shr
Lucentio,1371,Shr
Gremio,1329,Shr
Baptista,1289,Shr
Lord,1059,Shr
Biondello,817,Shr
Bianca,544,Shr
Sly,522,Shr
Merchant,377,Shr
Vincentio,346,Shr
Curtis,170,Shr
SERVANTS.LORD.0.1,143,Shr
Page,122,Shr
Tailor,111,Shr
SERVANTS.LORD.0.2,104,Shr
SERVANTS.LORD.0.3,100,Shr
Widow,76,Shr
Messenger,61,Shr
HUNTSMEN.0.1,38,Shr
HUNTSMEN.0.3,36,Shr
HUNTSMEN.0.2,29,Shr
PLAYERS.0.1,28,Shr
SERVANTS.PETRUCHIO.Nathaniel,27,Shr
Hostess,26,Shr
SERVANTS.BAPTISTA.1,23,Shr
SERVANTS.PETRUCHIO.Peter,13,Shr
PLAYERS.0.2,12,Shr
Haberdasher,8,Shr
SERVANTS.PETRUCHIO.Phillip,8,Shr
SERVANTS.PETRUCHIO.Joseph,7,Shr
SERVANTS.PETRUCHIO.Nicholas,7,Shr
PLAYERS,4,Shr
SERVANTS.LORD,1,Shr
SERVANTS.PETRUCHIO.0.4,1,Shr
Prospero,4712,Tmp
Caliban,1351,Tmp
Stephano,1312,Tmp
Ariel,1277,Tmp
Gonzalo,1157,Tmp
Miranda,1014,Tmp
Antonio,991,Tmp
Ferdinand,982,Tmp
Trinculo,816,Tmp
Alonso,749,Tmp
Sebastian,699,Tmp
Boatswain,353,Tmp
SPIRITS.Iris,297,Tmp
SPIRITS.Ceres,155,Tmp
Francisco,79,Tmp
Adrian,64,Tmp
SPIRITS.Juno,41,Tmp
Shipmaster,17,Tmp
SAILORS,8,Tmp
Timon,6336,Tim
Apemantus,1759,Tim
Flavius,1519,Tim
Alcibiades,1181,Tim
Poet,758,Tim
Painter,483,Tim
SENATORS.1,376,Tim
FRIENDS.Lucius,353,Tim
SENATORS.2,346,Tim
FRIENDS.Lucullus,282,Tim
SENATORS.X,281,Tim
STRANGERS.1,230,Tim
SERVANTS.TIMON.Flaminius,220,Tim
SENATORS.0.1,219,Tim
FRIENDS.Sempronius,212,Tim
OldMan,207,Tim
SERVANTS.LUCIUS.1,193,Tim
Fool,181,Tim
FRIENDS.0.1,174,Tim
FRIENDS.0.2,171,Tim
SERVANTS.TIMON.X.2,152,Tim
SERVANTS.Caphis,151,Tim
SERVANTS.TIMON.Servilius,129,Tim
LORDS.0.1,122,Tim
SERVANTS.VARRO.1,122,Tim
LORDS.0.2,119,Tim
SOLDIERS.1,118,Tim
BANDITS.1,105,Tim
SERVANTS.Titus,89,Tim
Jeweler,78,Tim
SENATORS.0.2,74,Tim
MESSENGERS.X.3,70,Tim
SERVANTS.Hortensius,70,Tim
SERVANTS.ISIDORE.1,64,Tim
FRIENDS.Ventidius,63,Tim
Merchant,63,Tim
BANDITS.3,61,Tim
FRIENDS.0.3,57,Tim
SERVANTS.TIMON.0.2,57,Tim
BANDITS.2,50,Tim
SERVANTS.Page,48,Tim
STRANGERS.2,48,Tim
Cupid,47,Tim
SERVANTS.TIMON.0.3,47,Tim
Timandra,44,Tim
MESSENGERS.X.1,43,Tim
SERVANTS.TIMON.0.1,41,Tim
SERVANTS.VARRO.2,40,Tim
SERVANTS.TIMON.Lucilius,35,Tim
SERVANTS.Philotus,34,Tim
Phrynia,33,Tim
SERVANTS.TIMON.X.1,28,Tim
SERVANTS.TIMON.3,26,Tim
LORDS.0.3,24,Tim
SERVANTS.LUCULLUS.1,23,Tim
SERVANTS.TIMON.2,22,Tim
FRIENDS.0.4,18,Tim
SENATORS.3,16,Tim
SERVANTS.TIMON.1,16,Tim
LADIES.0.1,13,Tim
MESSENGERS.X.2,9,Tim
SENATORS.4,9,Tim
FRIENDS.0,8,Tim
ATTENDANTS.TIMON.0.1,5,Tim
LADIES,4,Tim
LORDS,4,Tim
STRANGERS.3,4,Tim
SENATORS.0.3,1,Tim
Titus,5712,Tit
Aaron,2805,Tit
Marcus,2447,Tit
Tamora,1981,Tit
Saturninus,1590,Tit
Lucius,1412,Tit
Demetrius,720,Tit
Bassianus,461,Tit
Lavinia,457,Tit
Chiron,403,Tit
YoungLucius,350,Tit
Martius,273,Tit
Quintus,227,Tit
CountryFellow,173,Tit
GOTHS.0.2,170,Tit
Nurse,136,Tit
Aemilius,132,Tit
Publius,112,Tit
GOTHS.0.1,76,Tit
Messenger,56,Tit
TRIBUNES.0.1,52,Tit
Captain,41,Tit
GOTHS.0,38,Tit
TRIBUNES,31,Tit
Mutius,25,Tit
ATTENDANTS,12,Tit
GOTHS,10,Tit
Troilus,3962,Tro
Ulysses,3520,Tro
Pandarus,3154,Tro
Thersites,2287,Tro
Cressida,2119,Tro
Hector,1528,Tro
Agamemnon,1407,Tro
Achilles,1304,Tro
Nestor,1135,Tro
Aeneas,1052,Tro
Paris,721,Tro
Diomedes,703,Tro
Ajax,539,Tro
Patroclus,404,Tro
Alexander,259,Tro
Cassandra,259,Tro
Calchas,229,Tro
Prologue,224,Tro
Helen,187,Tro
Priam,139,Tro
SERVANTS.PARIS.1,117,Tro
Andromache,113,Tro
Menelaus,86,Tro
Helenus,37,Tro
Boy,16,Tro
Bastard,14,Tro
Deiphobus,14,Tro
SERVANTS.TROILUS.1,10,Tro
MYRMIDONS.0.1,8,Tro
SOLDIERS,5,Tro
Antenor,4,Tro
SERVANTS.DIOMEDES.1,4,Tro
SOLDIERS.TROJAN,4,Tro
ATTENDANTS.GREEK,3,Tro
TobyBelch,2694,TN
Viola,2564,TN
Feste,2443,TN
Olivia,2311,TN
Malvolio,2224,TN
Orsino,1617,TN
Maria,1216,TN
AndrewAguecheek,1171,TN
Sebastian,1005,TN
Fabian,862,TN
Antonio,803,TN
Captain,239,TN
ATTENDANTS.ORSINO.Valentine,102,TN
OFFICERS.1,100,TN
Priest,57,TN
ATTENDANTS.ORSINO.Curio,41,TN
ATTENDANTS.OLIVIA.1,21,TN
OFFICERS.2,19,TN
Proteus,3350,TGV
Valentine,2821,TGV
Julia,2430,TGV
Lance,1852,TGV
Duke,1529,TGV
Speed,1456,TGV
Sylvia,1138,TGV
Lucetta,556,TGV
Thurio,372,TGV
Pantino,311,TGV
Antonio,262,TGV
OUTLAWS.3,210,TGV
Eglamour,192,TGV
OUTLAWS.1,159,TGV
Host,158,TGV
OUTLAWS.2,105,TGV
SERVANTS.1,9,TGV
Palamon,4252,TNK
Arcite,3671,TNK
Emilia,2713,TNK
Daughter,2675,TNK
Theseus,2378,TNK
Pirithous,881,TNK
Wooer,776,TNK
Jailer,750,TNK
Schoolmaster,750,TNK
Hippolyta,711,TNK
Doctor,661,TNK
QUEENS.1,520,TNK
QUEENS.2,342,TNK
MESSENGERS.X.1,329,TNK
QUEENS.3,323,TNK
Prologue,270,TNK
COUNTRYMEN.0.2,235,TNK
Epilogue,165,TNK
COUNTRYMEN.0.3,162,TNK
FRIENDS.1,152,TNK
FRIENDS.2,147,TNK
Boy,113,TNK
COUNTRYMEN.0.1,105,TNK
COUNTRYMEN.0.4,104,TNK
Valerius,79,TNK
Servant,72,TNK
Woman,67,TNK
Brother,65,TNK
Herald,64,TNK
KNIGHTS.PALAMON.0.1,44,TNK
KNIGHTS.PALAMON.0.2,27,TNK
MESSENGERS.X.2,21,TNK
OTHERS,20,TNK
ATTENDANTS.1,18,TNK
KNIGHTS.PALAMON.0.3,10,TNK
Taborer,7,TNK
MESSENGERS.X.3,6,TNK
COUNTRYWOMEN.0.1,4,TNK
KNIGHTS.PALAMON,4,TNK
COUNTRYMEN.0.5,2,TNK
Leontes,4903,WT
Autolycus,2395,WT
Paulina,2390,WT
Camillo,2094,WT
Polixenes,1960,WT
ShepherdsSon,1597,WT
Hermione,1584,WT
Florizell,1391,WT
Shepherd,1072,WT
Perdita,898,WT
Antigonus,785,WT
ATTENDANTS.3,594,WT
SERVANTS.SHEPHERD.1,315,WT
Chorus,266,WT
ATTENDANTS.0.1,261,WT
ATTENDANTS.1,221,WT
OFFICERS.0.1,193,WT
Dion,190,WT
Archidamus,176,WT
ATTENDANTS.X,172,WT
Mamillius,151,WT
LADIES.Emilia,142,WT
Mopsa,142,WT
Cleomenes,140,WT
ATTENDANTS.2,126,WT
SERVANTS.X.3,119,WT
Sailor,80,WT
Jailer,72,WT
Dorcas,67,WT
LADIES.0.1,49,WT
SERVANTS.X.1,45,WT
SERVANTS.X.2,31,WT
LADIES.0.2,21,WT
ATTENDANTS,19,WT
SERVANTS.0,12,WT
