,Characters,Lines
0,TITUS ANDRONICUS,725
1,AARON,356
2,MARCUS ANDRONICUS,263
3,TAMORA,259
4,SATURNINUS,211
5,LUCIUS,188
6,DEMETRIUS,94
7,BASSIANUS,63
8,LAVINIA,60
9,CHIRON,53
10,MARCUS,47
11,Young LUCIUS,45
12,MARTIUS,32
13,QUINTUS,27
14,Clown,21
15,AEMILIUS,21
16,Second Goth,21
17,Nurse,19
18,PUBLIUS,15
19,First Goth,11
20,Messenger,7
21,Captain,7
22,All,4
23,MUTIUS,4
24,Tribunes,3
25,Third Goth,2
26,All the Goths,1
