,Characters,Lines
0,BENEDICK,432
1,LEONATO,328
2,DON PEDRO,313
3,CLAUDIO,287
4,BEATRICE,270
5,DOGBERRY,175
6,HERO,131
7,BORACHIO,123
8,DON JOHN,107
9,FRIAR FRANCIS,83
10,MARGARET,62
11,ANTONIO,55
12,URSULA,48
13,CONRADE,34
14,Messenger,30
15,BALTHASAR,28
16,VERGES,25
17,Sexton,15
18,Watchman,15
19,First Watchman,10
20,Second Watchman,8
21,PUCK,2
22,Boy,2
23,Lord,1
