,Characters,Lines
0,FALSTAFF,436
1,MISTRESS PAGE,306
2,FORD,305
3,MISTRESS QUICKLY,263
4,SIR HUGH EVANS,222
5,MISTRESS FORD,166
6,PAGE,143
7,SLENDER,141
8,SHALLOW,112
9,Host,107
10,FENTON,94
11,DOCTOR CAIUS,94
12,PISTOL,57
13,SIMPLE,49
14,ANNE PAGE,28
15,NYM,28
16,BARDOLPH,23
17,ROBIN,13
18,WILLIAM PAGE,12
19,RUGBY,10
20,First Servant,2
21,Servant,1
22,All,1
23,Second Servant,1
