,Characters,Lines
0,WARWICK,436
1,KING HENRY VI,365
2,KING EDWARD IV,298
3,QUEEN MARGARET,279
4,GLOUCESTER,244
5,YORK,171
6,RICHARD,155
7,CLIFFORD,141
8,EDWARD,132
9,CLARENCE,91
10,KING LEWIS XI,67
11,PRINCE EDWARD,43
12,SOMERSET,39
13,QUEEN ELIZABETH,37
14,Messenger,36
15,LADY GREY,36
16,OXFORD,35
17,MONTAGUE,32
18,NORTHUMBERLAND,30
19,Post,30
20,Father,27
21,RUTLAND,24
22,Son,22
23,GEORGE,21
24,HASTINGS,20
25,First Keeper,18
26,EXETER,17
27,Second Keeper,14
28,WESTMORELAND,11
29,BONA,9
30,Third Watchman,9
31,First Watchman,8
32,Second Watchman,8
33,RIVERS,7
34,Mayor,5
35,Lieutenant,3
36,Tutor,3
37,PRINCE,3
38,NORFOLK,3
39,Huntsman,2
40,Nobleman,2
41,Soldier,2
42,JOHN MORTIMER,1
43,All,1
44,First Messenger,1
45,Second Messenger,1
