,Characters,Lines
0,BASTARD,523
1,KING JOHN,441
2,CONSTANCE,264
3,KING PHILIP,193
4,CARDINAL PANDULPH,164
5,SALISBURY,158
6,LEWIS,154
7,HUBERT,141
8,ARTHUR,120
9,PEMBROKE,78
10,First Citizen,64
11,QUEEN ELINOR,53
12,BLANCH,42
13,CHATILLON,41
14,MELUN,39
15,AUSTRIA,34
16,PRINCE HENRY,30
17,Messenger,28
18,ROBERT,22
19,LADY FAULCONBRIDGE,15
20,English Herald,13
21,French Herald,12
22,BIGOT,9
23,ESSEX,3
24,ELINOR,2
25,First Executioner,2
26,KING HENRY VIII,2
27,GURNEY,1
28,PETER,1
