,Characters,Lines
0,HELENA,473
1,KING,387
2,PAROLLES,365
3,COUNTESS,281
4,LAFEU,274
5,BERTRAM,273
6,Clown,193
7,Second Lord,147
8,DIANA,136
9,First Lord,114
10,First Soldier,78
11,Widow,65
12,Steward,43
13,Gentleman,22
14,MARIANA,20
15,DUKE,19
16,First Gentleman,12
17,Second Gentleman,11
18,Servant,4
19,Second Soldier,2
20,All,2
21,Fourth Lord,1
22,Both,1
23,BOTH,1
24,Page,1
