,Characters,Lines
0,TROILUS,537
1,ULYSSES,488
2,PANDARUS,394
3,CRESSIDA,295
4,THERSITES,284
5,HECTOR,214
6,AGAMEMNON,196
7,ACHILLES,190
8,NESTOR,158
9,AENEAS,145
10,DIOMEDES,104
11,PARIS,98
12,AJAX,84
13,PATROCLUS,65
14,CASSANDRA,37
15,ALEXANDER,33
16,CALCHAS,32
17,LUCIUS,32
18,HELEN,24
19,PRIAM,20
20,Servant,19
21,ANDROMACHE,15
22,MENELAUS,12
23,HELENUS,4
24,Boy,3
25,MARGARELON,3
26,DEIPHOBUS,2
27,ALL,2
28,MYRMIDONS,1
