,Characters,Lines
0,IAGO,1101
1,OTHELLO,888
2,DESDEMONA,388
3,CASSIO,279
4,EMILIA,245
5,BRABANTIO,140
6,RODERIGO,114
7,LODOVICO,76
8,DUKE OF VENICE,71
9,MONTANO,61
10,BIANCA,34
11,GRATIANO,32
12,Clown,27
13,First Senator,26
14,Third Gentleman,17
15,Second Gentleman,12
16,Herald,12
17,Messenger,9
18,Second Senator,5
19,First Musician,5
20,First Officer,5
21,Sailor,4
22,First Gentleman,3
23,Senator,2
24,Fourth Gentleman,2
25,Second Gentlemen,2
26,All,2
27,Gentleman,1
