,Characters,Lines
0,DUKE VINCENTIO,858
1,ISABELLA,420
2,ANGELO,321
3,LUCIO,303
4,ESCALUS,188
5,Provost,163
6,POMPEY,156
7,CLAUDIO,113
8,MARIANA,68
9,ELBOW,68
10,FRIAR PETER,36
11,MISTRESS OVERDONE,29
12,First Gentleman,22
13,ABHORSON,19
14,BARNARDINE,14
15,Second Gentleman,10
16,FROTH,10
17,JULIET,10
18,FRANCISCA,9
19,FRIAR THOMAS,6
20,Messenger,6
21,Servant,5
22,Justice,3
23,POMPHEY,2
24,DUKE,1
