,Characters,Lines
0,VIOLA,337
1,SIR TOBY BELCH,332
2,OLIVIA,308
3,Clown,308
4,MALVOLIO,275
5,DUKE ORSINO,220
6,SIR ANDREW,147
7,MARIA,141
8,SEBASTIAN,125
9,FABIAN,109
10,ANTONIO,105
11,Captain,32
12,VALENTINE,13
13,First Officer,12
14,Priest,8
15,CURIO,5
16,Servant,3
17,Second Officer,3
