,Characters,Lines
0,TALBOT,419
1,JOAN LA PUCELLE,257
2,GLOUCESTER,212
3,KING HENRY VI,189
4,SUFFOLK,170
5,CHARLES,135
6,Messenger,98
7,OF WINCHESTER,96
8,YORK,95
9,MORTIMER,95
10,PLANTAGENET,92
11,WARWICK,80
12,LUCY,77
13,BEDFORD,76
14,SOMERSET,73
15,EXETER,61
16,REIGNIER,59
17,ALENCON,49
18,JOHN TALBOT,47
19,OF AUVERGNE,46
20,BURGUNDY,44
21,MARGARET,33
22,BASTARD OF ORLEANS,29
23,VERNON,29
24,General,28
25,BASSET,25
26,Shepherd,24
27,Mayor,23
28,Boy,20
29,SALISBURY,15
30,FASTOLFE,8
31,Captain,7
32,SU FFOLK,6
33,Officer,6
34,Lawyer,6
35,Scout,5
36,WOODVILE,5
37,First Sentinel,4
38,First Gaoler,4
39,First Warder,4
40,Soldier,4
41,Sergeant,4
42,First Soldier,3
43,Watch,2
44,Second Warder,2
45,GARGRAVE,2
46,Porter,2
47,Legate,2
48,Sentinels,2
49,ALL,1
50,Servant,1
51,GLANSDALE,1
