,Characters,Lines
0,THESEUS,233
1,HELENA,229
2,OBERON,226
3,PUCK,211
4,BOTTOM,204
5,LYSANDER,178
6,HERMIA,165
7,TITANIA,158
8,DEMETRIUS,134
9,QUINCE,83
10,Pyramus,56
11,EGEUS,41
12,Prologue,35
13,HIPPOLYTA,34
14,Thisbe,34
15,Fairy,31
16,PHILOSTRATE,24
17,FLUTE,23
18,Wall,12
19,Lion,9
20,SNOUT,7
21,SNUG,6
22,Moonshine,6
23,MUSTARDSEED,5
24,STARVELING,5
25,PEASEBLOSSOM,4
26,COBWEB,4
27,ALL,2
28,MOTH,2
29,HERNIA,1
