,Characters,Lines
0,DROMIO OF SYRACUSE,314
1,ADRIANA,276
2,OF SYRACUSE,271
3,OF EPHESUS,210
4,DROMIO OF EPHESUS,187
5,AEGEON,147
6,LUCIANA,108
7,ANGELO,96
8,DUKE SOLINUS,93
9,AEMELIA,73
10,Courtezan,40
11,Second Merchant,38
12,BALTHAZAR,31
13,First Merchant,18
14,Officer,16
15,PINCH,16
16,Servant,15
17,LUCE,11
18,ANTIPHOLUS,6
19,Gaoler,1
