,Characters,Lines
0,PROTEUS,442
1,VALENTINE,383
2,JULIA,322
3,LAUNCE,203
4,DUKE,200
5,SPEED,194
6,SILVIA,155
7,LUCETTA,73
8,THURIO,56
9,PANTHINO,43
10,Host,38
11,ANTONIO,35
12,EGLAMOUR,28
13,Third Outlaw,25
14,First Outlaw,21
15,Second Outlaw,15
16,Outlaws,1
