,Characters,Lines
0,KING LEAR,753
1,EDGAR,396
2,KENT,369
3,GLOUCESTER,342
4,EDMUND,319
5,Fool,227
6,GONERIL,202
7,REGAN,190
8,ALBANY,160
9,CORDELIA,118
10,CORNWALL,108
11,Gentleman,84
12,OSWALD,76
13,KING OF FRANCE,32
14,Messenger,19
15,Doctor,18
16,Knight,14
17,BURGUNDY,12
18,Old Man,11
19,Herald,10
20,CURAN,9
21,First Servant,9
22,LEAR,6
23,Captain,6
24,Second Servant,5
25,Third Servant,5
