,Characters,Lines
0,PORTIA,589
1,SHYLOCK,355
2,BASSANIO,336
3,ANTONIO,189
4,LORENZO,179
5,GRATIANO,175
6,LAUNCELOT,168
7,SALARINO,104
8,MOROCCO,103
9,JESSICA,86
10,NERISSA,84
11,ARRAGON,65
12,DUKE,57
13,SALANIO,56
14,GOBBO,37
15,SALERIO,24
16,Servant,17
17,Clerk,17
18,TUBAL,12
19,STEPHANO,8
20,LEONARDO,2
21,ALL,1
22,BALTHASAR,1
