,Characters,Lines
0,ROSALIND,677
1,ORLANDO,297
2,CELIA,276
3,TOUCHSTONE,275
4,JAQUES,227
5,OLIVER,147
6,DUKE SENIOR,111
7,PHEBE,86
8,SILVIUS,75
9,CORIN,69
10,DUKE FREDERICK,69
11,ADAM,65
12,First Lord,46
13,LE BEAU,46
14,CHARLES,41
15,AMIENS,37
16,HYMEN,31
17,Second Page,22
18,AUDREY,18
19,JAQUES DE BOYS,17
20,WILLIAM,11
21,Second Lord,11
22,Forester,10
23,First Page,5
24,SIR OLIVER MARTEXT,4
25,DENNIS,3
26,A Lord,1
